Rank,Album,Artist,Link,No_1_hits,Top_10_hits,Songs
66,Hi Infidelity,REO Speedwagon,https://www.billboard.com/music/reo-speedwagon,2.0,4.0,18.0
67,Tragic Kingdom,No Doubt,https://www.billboard.com/music/no-doubt,3.0,8.0,NA
68,Need You Now,Lady Antebellum,https://www.billboard.com/music/lady-antebellum,2.0,18.0,NA
69,Breakfast In America,Supertramp,https://www.billboard.com/music/supertramp,2.0,10.0,NA
70,Millennium,Backstreet Boys,https://www.billboard.com/music/backstreet-boys,6.0,17.0,NA
71,Hannah Montana 2 (Soundtrack)/Meet Miley Cyrus,Miley Cyrus,https://www.billboard.com/music/miley-cyrus,1.0,9.0,45.0
72,Control,Janet Jackson,https://www.billboard.com/music/janet-jackson,10.0,27.0,40.0
73,American Idiot,Green Day,https://www.billboard.com/music/green-day,2.0,9.0,NA
74,Fleetwood Mac,Fleetwood Mac,https://www.billboard.com/music/fleetwood-mac,1.0,9.0,25.0
75,Girl You Know It's True,Milli Vanilli,https://www.billboard.com/music/milli-vanilli,3.0,5.0,5.0
76,Here's To The Good Times,Florida Georgia Line,https://www.billboard.com/music/florida-georgia-line,1.0,17.0,NA
77,Breakaway,Kelly Clarkson,https://www.billboard.com/music/kelly-clarkson,3.0,11.0,27.0
78,My World 2.0,Justin Bieber,https://www.billboard.com/music/justin-bieber,5.0,13.0,69.0
79,Unplugged,Eric Clapton,https://www.billboard.com/music/eric-clapton,1.0,6.0,23.0
80,The Lion King,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
81,Faith,George Michael,https://www.billboard.com/music/george-michael,8.0,16.0,20.0
82,Don't Be Cruel,Bobby Brown,https://www.billboard.com/music/bobby-brown,2.0,9.0,13.0
83,Hotshot,Shaggy,https://www.billboard.com/music/shaggy,2.0,3.0,8.0
84,Wilson Phillips,Wilson Phillips,https://www.billboard.com/music/wilson-phillips,3.0,4.0,7.0
85,Country Grammar,Nelly,https://www.billboard.com/music/nelly,4.0,14.0,36.0
86,John Denver's Greatest Hits,John Denver,https://www.billboard.com/music/john-denver,4.0,7.0,32.0
87,Music Box,Mariah Carey,https://www.billboard.com/music/mariah-carey,18.0,27.0,48.0
88,Hangin' Tough,New Kids On The Block,https://www.billboard.com/music/new-kids-on-the-block,3.0,9.0,13.0
89,Chicago II,Chicago,https://www.billboard.com/music/chicago,3.0,20.0,46.0
90,"Hello, Dolly!",Original Cast,https://www.billboard.com/music/original-cast,1.0,2.0,75.0
91,The Sign,Ace Of Base,https://www.billboard.com/music/ace-of-base,1.0,4.0,8.0
92,The Wall,Pink Floyd,https://www.billboard.com/music/pink-floyd,1.0,1.0,5.0
93,Recovery,Eminem,https://www.billboard.com/music/eminem,5.0,17.0,57.0
94,Janet Jackson's Rhythm Nation 1814,Janet Jackson,https://www.billboard.com/music/janet-jackson,10.0,27.0,40.0
95,Asia,Asia,https://www.billboard.com/music/asia,2.0,6.0,NA
96,The E.N.D.,The Black Eyed Peas,https://www.billboard.com/music/the-black-eyed-peas,3.0,10.0,16.0
97,Futuresex/Lovesounds,Justin Timberlake,https://www.billboard.com/music/justin-timberlake,5.0,17.0,29.0
98,Brothers In Arms,Dire Straits,https://www.billboard.com/music/dire-straits,1.0,3.0,7.0
99,In The Lonely Hour,Sam Smith,https://www.billboard.com/music/sam-smith,5.0,12.0,NA
100,The Dutchess,Fergie,https://www.billboard.com/music/fergie,3.0,5.0,11.0
101,"O Brother, Where Art Thou?",Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
102,Business As Usual,Men At Work,https://www.billboard.com/music/men-at-work,2.0,4.0,6.0
103,The Graduate,Soundtrack,https://www.billboard.com/music/soundtrack,72.0,272.0,1652.0
104,Me And My Gang,Rascal Flatts,https://www.billboard.com/music/rascal-flatts,2.0,36.0,NA
105,A Hard Day's Night (Soundtrack),The Beatles,https://www.billboard.com/music/the-beatles,20.0,34.0,71.0
106,Sigh No More,Mumford & Sons,https://www.billboard.com/music/mumford-sons,11.0,NA,NA
107,Songs In A Minor,Alicia Keys,https://www.billboard.com/music/alicia-keys,4.0,9.0,24.0
108,Heart,Heart,https://www.billboard.com/music/heart,2.0,9.0,29.0
109,Crash My Party,Luke Bryan,https://www.billboard.com/music/luke-bryan,26.0,NA,NA
110,Purple Rain (Soundtrack),Prince And The Revolution,https://www.billboard.com/music/prince-and-the-revolution,NA,NA,NA
111,No Strings Attached,'N Sync,https://www.billboard.com/music/n-sync,1.0,6.0,12.0
112,Speakerboxxx/The Love Below,OutKast,https://www.billboard.com/music/outkast,3.0,4.0,19.0
113,X,Ed Sheeran,https://www.billboard.com/music/ed-sheeran,1.0,6.0,28.0
114,Abraxas,Santana,https://www.billboard.com/music/santana,2.0,6.0,24.0
115,Songs In The Key Of Life,Stevie Wonder,https://www.billboard.com/music/stevie-wonder,10.0,28.0,63.0
116,Babel,Mumford & Sons,https://www.billboard.com/music/mumford-sons,11.0,NA,NA
117,Breathless,Kenny G,https://www.billboard.com/music/kenny-g,2.0,11.0,NA
118,Nevermind,Nirvana,https://www.billboard.com/music/nirvana,1.0,4.0,NA
119,Janet.,Janet Jackson,https://www.billboard.com/music/janet-jackson,10.0,27.0,40.0
